lp_addr,token_pair,fee_tier,during_last_ndays,num_trades,volume_usd,fees_usd,start_tvl_usd,current_tvl_usd,tvl_change_usd,fee_apr,volume_to_tvl
0xc7b825324a9dbbad0bae1ec4658eaeb6164bb4e8,COMBO-WETH,0.30%,44.1396,116,102002.44504161873,306.00733512485607,0.12981107518797178,183810.70135829516,183810.57154721997,70.36246326542782,0.5549320267419537
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,WETH-wstETH,0.01%,50.5146,7953,8.937626391634512e+08,89376.26391634517,113.79038994600215,1.1445152675436929e+07,1.1445038885046983e+07,51.51161262775776,78.09093198744341
0x11950d141ecb863f01007add7d1a342041227b58,PEPE-WETH,0.30%,100.0889,356968,2.520496971193525e+09,7.561490913580565e+06,599692.3686039054,1.3720318436863124e+07,1.3120626068259219e+07,9.65463564804644,183.70542803303812
0x61f6cfa82ae17259fdee34a69ac34702b51b9c00,CREAM-WETH,1.00%,75.2174,1106,2.0708323028965897e+06,20708.3230289659,6317.914478340308,194697.97012576016,188380.05564741985,7.124258274279728,10.636126825354104
0xf18c97261e4152c173779f749bbebc9e856d1838,PMON-WETH,1.00%,42.4056,755,755008.9102644895,7550.089102644896,11650.422990104875,197342.2367652582,185691.8137751533,4.3289767998420245,3.825886047712051
0x755e5a186f0469583bd2e80d1216e02ab88ec6ca,ARB-WETH,1.00%,100.0326,9709,2.9692908749911655e+07,296929.08749911643,245156.33446875488,2.836960969319107e+06,2.591804634850352e+06,2.9078975526726616,10.4664495109491
0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb,PENDLE-WETH,0.30%,100.0681,7794,1.727854447067538e+07,51835.63341202611,44346.63757187442,318216.3332231096,273869.6956512352,2.8368270773524387,54.29810687486286
0x6c063a6e8cd45869b5eb75291e65a3de298f3aa8,INJ-WETH,0.30%,100.0451,7263,2.6888076842391096e+07,80664.23052717329,102592.31457211392,714281.7375363383,611689.4229642244,2.123606543176816,37.64351715771425
0xf239009a101b6b930a527deaab6961b6e7dec8a6,PEPE-WETH,1.00%,100.0569,47276,2.0310957636409634e+08,2.031095763640962e+06,2.8502153419134896e+06,6.5916429867482595e+06,3.74142764483477e+06,1.9690626746543083,30.81319433901757
0x508acdc358be2ed126b1441f0cff853dec49d40f,ACX-WETH,1.00%,99.8090,1443,1.0625490252052876e+06,10625.490252052865,18191.4315419908,121619.19438916844,103427.76284717763,1.682911952935987,8.736688567474342
0xcd4391c8a8a6b1bf2518a0b90e3dea212cbc2a75,ANT-WETH,1.00%,99.7257,916,3.311834381798073e+06,33118.34381798074,74761.0201150837,178688.203809455,103927.18369437131,1.3409742442173234,18.534152289815747
0xd2624380a006220574c9e75083490b042e71ee42,NRG-WETH,1.00%,99.4674,406,1.4361242640120017e+06,14361.242640120015,33065.164947716155,546129.8467487112,513064.681800995,1.3321415046698692,2.6296388534003716
0x19c10e1f20df3a8c2ac93a62d7fba719fa777026,DINO-WETH,1.00%,100.0701,16912,2.407377212790544e+07,240737.72127905439,631986.379769359,908894.2742718856,276907.8945025266,1.1799465645359475,26.486878407492352
0xe0f0e02a16b45f949b98856b61175e63ca5f6293,UNCX-WETH,0.30%,89.0972,314,910632.4120593439,2731.897236178033,8532.483109703197,1.3004191758417464e+06,1.291886692732043e+06,1.1372719969788725,0.700260676692884
0x4d1eff861316396dd1915f69b49f4c2d7b11590d,JASMY-WETH,1.00%,100.0410,5943,8.832015498201376e+06,88320.15498201373,328850.38422756735,440229.77391593915,111379.3896883718,0.8693402283612628,20.0622857005756
0x7f808fd904ffa3eb6a6f259e6965fb1466a05372,DXN-WETH,1.00%,100.0861,16764,3.0583999915194917e+07,305839.9991519495,1.1785023634819062e+06,446065.3373848252,-732437.026097081,0.8431271957517161,68.56394647138829
0x021ab4a498448d2612dfb4b93b9e4ed19729df54,HOP-WETH,0.30%,98.4535,889,911283.342888422,2733.8500286652657,10942.843908022114,141295.73722164295,130352.89331362084,0.8312018974067648,6.449475127893924
0x2a9d2ba41aba912316d16742f259412b681898db,WETH-XEN,1.00%,100.0833,31296,1.0101512612850465e+08,1.0101512612850458e+06,3.96460620575008e+06,2.167950183275542e+06,-1.7966560224745376e+06,0.8293816838909274,46.59476352721423
0xe936f0073549ad8b1fa53583600d629ba9375161,RNDR-WETH,1.00%,100.0840,8934,7.830987284703326e+07,783098.7284703325,3.1919011939962273e+06,4.236975177589659e+06,1.0450739835934313e+06,0.8017184092604357,18.482495073662996
0x4858c96a9024fbd7efbfe78aa5a8d62900952420,INJ-WETH,1.00%,99.9979,2097,7.510562938094101e+06,75105.62938094104,348674.5364170107,205801.70467604822,-142872.8317409625,0.7127220462837236,36.49417263047676
0xc1df8037881df17dc88998824b9aea81c71bbb1b,FORTH-WETH,1.00%,98.8174,1174,1.4972478297825109e+06,14972.478297825102,77571.76497965679,122419.79469211814,44848.02971246136,0.6511859806822962,12.230438986995862
0x5b7e3e37a1aa6369386e5939053779abd3597508,RIO-WETH,0.30%,100.0868,7937,9.591089624842003e+06,28773.26887452604,154090.9721257257,157545.88112897478,3454.9090032490785,0.625418379883228,60.878072826228106
0x82743c07bf3be4d55876f87bca6cce5f84429bd0,HEX-WETH,1.00%,100.0292,8701,2.6787351429337736e+07,267873.5142933772,1.469738669353632e+06,660251.7783478964,-809486.8910057356,0.6116213426756589,40.571418825051744
0x66ad25b5aa3543cb7f4566851fe26da6abab205e,WETH-XTP,1.00%,100.0396,5919,7.256904759111355e+06,72569.04759111362,409307.202549787,728976.4720501235,319669.2695003365,0.5962444236627773,9.954923152324152
0xc3f6b81fb9e6db259272026601689e383f94c0b0,OVR-WETH,1.00%,99.7979,3237,9.250148574406749e+06,92501.48574406744,645754.8263790456,2.7400611801137757e+06,2.09430635373473e+06,0.4889569642790248,3.375891254377997
0xf1b5cf831ced19136472b2b385f30384ce14a982,TAMA-WETH,1.00%,100.0563,3443,3.188229484634921e+06,31882.29484634923,231308.29903772677,696131.262458909,464822.9634211822,0.47161802404310116,4.57992573609365
0xec2061372a02d5e416f5d8905eea64cab2c10970,RSC-WETH,1.00%,98.6347,264,254366.591078854,2543.6659107885393,19869.08931052986,114920.61935240531,95051.53004187545,0.4443645078245395,2.213411244320187
