ID;Date;Date (Unix);Volume ETH;Volume USD;Volume USD Untracked;Feed USD;TX Count;TVL USD
18981;12/19/2021, 4:00:00 PM;1639958400;0.0;0.0;0.0;0.0;5;0.0
18982;12/20/2021, 4:00:00 PM;1640044800;1.7327164229118935;6931.678345450813748534;0.0;19.833501899931290151;197;19.833501899931290151
18983;12/21/2021, 4:00:00 PM;1640131200;102.986512802148810764;412332.109365856337527036;0.0;989.924362973716706672;2,973;989.924362973716706672
18984;12/22/2021, 4:00:00 PM;1640217600;4518.747379330040762797;18165613.360739501567559485;0.0;18142.931045528578799058;46,534;18142.931045528578799058
18985;12/23/2021, 4:00:00 PM;1640304000;7396.256773771937317212;30211866.542811287064776925;0.0;24735.903307887461177237;92,889;24735.903307887461177237
18986;12/24/2021, 4:00:00 PM;1640390400;8143.704338074498404218;33136279.338813794502497407;0.0;24452.580280241406540643;140,171;24452.580280241406540643
18987;12/25/2021, 4:00:00 PM;1640476800;14959.080801775602132598;60681471.606269308374482447;0.0;42344.162748819768104895;198,455;42344.162748819768104895
18988;12/26/2021, 4:00:00 PM;1640563200;12356.043141297083555838;50376870.136287252508553646;0.0;38564.298400665277425128;274,252;38564.298400665277425128
18989;12/27/2021, 4:00:00 PM;1640649600;18952.247575619647494169;73699006.103594546904042053;0.0;56052.758570889353408046;349,804;56052.758570889353408046
18990;12/28/2021, 4:00:00 PM;1640736000;17811.809206876117224615;67038073.34114616780657265;0.0;57423.142264562883678507;421,987;57423.142264562883678507
18991;12/29/2021, 4:00:00 PM;1640822400;15796.826127653104910723;58466889.995207859330768077;0.0;48184.540370066499403224;486,277;48184.540370066499403224
18992;12/30/2021, 4:00:00 PM;1640908800;16477.673917203137650748;61527063.819155959529405999;0.0;63977.599549637095387259;539,212;63977.599549637095387259
18993;12/31/2021, 4:00:00 PM;1640995200;12124.03314478784273886;45193409.839274059453487504;0.0;48751.825011267263692718;581,941;48751.825011267263692718
18994;1/1/2022, 4:00:00 PM;1641081600;10775.343198660220657427;40627972.551305303692710214;0.0;37827.877333277516437307;626,011;37827.877333277516437307
