pair,pool,volume,vol_rank,Volume Share,tvl,tvl_rank,TVL Share,Fee Earned,fee_rank,Fee Share,Fee/TVL,apy,0.05_fee_total,0.3_fee_total,0.01_fee_total,1_fee_total,daily_volume,time,total_volume,Pool-Name,running_total_by_pool
APE-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf"" target=""_blank"">🔗🦄 0xac4b...7daf</a>",6628180828.84375,13.,0.0078082922527735,6540641.154985151,24.,0.0050338174381995,19884542.48653125,9.,0.0149886941861291,304.0151877369948,1.475605631968126,,19884542.48653125,,,266496.7320557635,2021-05-17T00:00:00+00:00,18928910.87148716,DAI / ETH 0.05% fee,18928910.87148716
FEI-USDC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26"" target=""_blank"">🔗🦄 0x8c54...9c26</a>",6205143646.941162,14.,0.007309935609317,888077.787242297,63.,0.0006834836747603,3102571.8234705813,56.,0.0023386758978236,349.3581157011978,1.6956876626454414,3102571.8234705813,,,,302272.67955195706,2021-05-18T00:00:00+00:00,19231183.55103911,DAI / ETH 0.05% fee,19231183.55103911
WETH-LOOKS 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011"" target=""_blank"">🔗🦄 0x4b5a...e011</a>",6092743193.165831,15.,0.0071775228681614,133044.972674198,235.,0.0001023942588566,18278229.57949749,10.,0.0137778776462429,13738.384256169846,66.68231720082439,,18278229.57949749,,,1478.710532701436,2021-05-19T00:00:00+00:00,19232662.261571813,DAI / ETH 0.05% fee,19232662.261571813
LINK-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8"" target=""_blank"">🔗🦄 0xa6cc...93e8</a>",5528716749.103347,16.,0.0065130745938526,16269570.44124407,15.,0.012521409668948,16586150.24731004,12.,0.0125024115566406,101.94583997905332,0.4948169094727987,,16586150.24731004,,,314.0261910518837,2021-05-20T00:00:00+00:00,19232976.287762865,DAI / ETH 0.05% fee,19232976.287762865
HEX-USDC 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5"" target=""_blank"">🔗🦄 0x69d9...18d5</a>",5014393508.093569,17.,0.0059071789066495,648452.790770799,84.,0.0004990631481966,15043180.524280705,13.,0.011339342236207,2319.857472800644,11.259946510269083,,15043180.524280705,,,390.28432841668615,2021-05-21T00:00:00+00:00,19233366.57209128,DAI / ETH 0.05% fee,19233366.57209128
UNI-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801"" target=""_blank"">🔗🦄 0x1d42...d801</a>",4355780981.377531,18.,0.0051313040138649,2282138.83585169,37.,0.0017563828982647,13067342.944132593,15.,0.0098499830884991,572.5919360754353,2.779202881217206,,13067342.944132593,,,213.5962026668521,2021-05-22T00:00:00+00:00,19233580.16829395,DAI / ETH 0.05% fee,19233580.16829395
USDC-UST 0.01%,"<a href=""https://info.uniswap.org/#/pools/0x18d96b617a3e5c42a2ada4bc5d1b48e223f17d0d"" target=""_blank"">🔗🦄 0x18d9...7d0d</a>",4136936365.926569,19.,0.0048734953089559,88.40454117176,1483.,6.803802722417473e-08,413693.6365926569,239.,0.0003118365639961,467955.1877192565,2271.3250467756466,,,413693.6365926569,413693.6365926569,82108.91181028602,2021-05-23T00:00:00+00:00,19315689.08010424,DAI / ETH 0.05% fee,19315689.08010424
MATIC-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x290a6a7460b308ee3f19023d2d00de604bcf5b42"" target=""_blank"">🔗🦄 0x290a...5b42</a>",4113543229.4830265,20.,0.0048459371522343,12581523.60473754,17.,0.0096830098792954,12340629.68844908,17.,0.0093021966479599,98.08533589526668,0.4760790904491002,,12340629.68844908,,,984122.2358451746,2021-05-24T00:00:00+00:00,20299811.31594941,DAI / ETH 0.05% fee,20299811.31594941
FRAX-USDC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52"" target=""_blank"">🔗🦄 0xc63b...6d52</a>",2804481289.7072754,21.,0.0033038038781584,49019831.9295371,6.,0.0377267119442017,1402240.6448536376,101.,0.0010569896800647,2.8605578388544246,0.0138843565316737,1402240.6448536376,,,,1039256.4062775548,2021-05-25T00:00:00+00:00,21339067.722226966,DAI / ETH 0.05% fee,21339067.722226966
ETH2x-FLI-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f"" target=""_blank"">🔗🦄 0x151c...ac7f</a>",2739679766.0410542,22.,0.0032274647968514,753059.448431256,74.,0.0005795706710839,8219039.298123163,22.,0.006195398592992,1091.4197166299082,5.297449422472293,,8219039.298123163,,,1127929.4875203425,2021-05-26T00:00:00+00:00,22466997.209747307,DAI / ETH 0.05% fee,22466997.209747307
