current_tvl_usd,during_last_ndays,fee_apr,fee_tier,fees_usd,lp_addr,num_trades,start_tvl_usd,token_pair,tvl_change_usd,volume_to_tvl,volume_usd
394162.74395287375,6.8285,2.13200624962726,0.30%,11033.70097694107,0xa8bd646f72ea828ccbc40fa2976866884f883409,23529,271872.1623544181,STG-WETH,122290.58159845567,9.330918210998576,3677900.325647038
172327.24850987972,0.9104,0.9689707182613594,0.30%,386.4502708196434,0xaac7de2b91293ba1791503d9127d2bdf2159db65,17,159914.53785572769,rETH-WETH,12412.710654152033,0.7475124105663181,128816.75693988115
913762.6529692068,6.8097,0.5757985688747314,0.30%,11655.373645856442,0x0632742c132413cd47438691d8064ff9214ac216,2679,1079650.3578295868,GMD-WETH,-165887.70486038004,4.251787415467653,3885124.54861881
1221547.4956947195,6.8292,0.4464294160000992,0.30%,10438.617598049568,0x59d72ddb29da32847a4665d08ffc8464a7185fae,3726,1245016.9942616182,MAGIC-WETH,-23469.49856689875,2.848468202516336,3479539.1993498695
483679.6399552081,6.8264,0.38796603083401937,0.30%,3421.173687465843,0x0ce541eac2adf14c8eeeb36d588a5db21df9e6c6,1089,470074.8402035517,VELA-WETH,13604.799751656421,2.35774081634052,1140391.229155281
105308.47365165094,6.8326,0.38571122509699185,0.01%,728.0623176891191,0xe754841b77c874135caca3386676e886459c2d61,46882,100554.62726378176,USDC-WETH,4753.846387869184,69.13615708622571,7280623.1768912
130272.19837215586,6.7458,0.23749734035300563,0.30%,622.9013264186987,0x52f9d14bed8ce6536da063aaf274ae2747ef4853,502,141608.52403142682,LDO-WETH,-11336.325659270951,1.5938456406465227,207633.77547289967
844015.5648944154,6.7708,0.23381242287066284,1.00%,3597.6793370330333,0xb529f885260321729d9ff1c69804c5bf9b3a95a5,386,827990.7331428442,BFR-WETH,16024.83175157127,0.4262574633304415,359767.93370330316
20239213.125652116,6.8340,0.22363248734222796,0.05%,74501.99718333487,0x641c00a822e8b671738d32a431a4fb6074e5c79d,48198,17757989.26961997,USDT-WETH,2481223.8560321443,7.362143648648796,149003994.36666906
253051.87278957025,6.4111,0.2114829092034709,1.00%,999.2812296826742,0x310a09b51501d893988401fba75c47dc59f1b42a,140,268626.69702552183,RDPX-WETH,-15574.824235951586,0.3948918530682615,99928.12296826737
25515166.887249015,6.8118,0.20706549867721136,0.30%,93004.39019840171,0x92c63d0e701caae670c9415d91c474f686298f00,7575,24026947.370999653,ARB-WETH,1488219.5162493624,1.215020992669261,31001463.399467155
140265.71795817977,6.3285,0.2067344513563485,1.00%,540.8792253084032,0xadfad8befdfd6d94f7cfbe22d6639c224a80d2b6,193,150654.4349336829,PLS-WETH,-10388.716975503135,0.38561042083687663,54087.92253084035
74044561.53956744,6.8340,0.1958424340499998,0.05%,284739.47580091737,0xc31e54c7a869b9fcbecc14363cf510d1c41fa443,88170,77517211.686782,USDC-WETH,-3472650.1472145617,7.691030100806523,569478951.6018342
396164.68139376724,6.6382,0.18387372178167327,1.00%,1258.3236012673115,0x25ab7dc4ddcacb6fe75694904db27602175245f1,189,375641.43709219026,LDO-WETH,20523.244301576982,0.3176263963865581,125832.3601267312
19341113.956046335,6.8278,0.1630586054169858,0.05%,65061.60533332733,0xc6f780497a95e246eb9449f5e4770916dcd6396a,37518,21308179.2955252,ARB-WETH,-1967065.3394788653,6.727803319000422,130123210.66665393
10831967.888724683,6.8292,0.1395575638761537,0.30%,28307.395932450196,0x1aeedd3727a6431b8f070c0afaa81cc74f273882,3511,10826706.41484854,GMX-WETH,5261.473876142874,0.8711065931031837,9435798.644150045
343250.6984557281,6.8042,0.13915512133279795,0.30%,930.2317944522201,0xdbaeb7f0dfe3a0aafd798ccecb5b22e708f7852c,421,358279.34236869565,PENDLE-WETH,-15028.643912967527,0.9033550877315978,310077.2648174065
292175.9049660292,6.8097,0.12679606566662005,0.30%,713.5655817905617,0xa95b0f5a65a769d82ab4f3e82842e45b8bbaf101,1433,301237.19247503055,CRV-WETH,-9061.287509001326,0.8140821672404581,237855.1939301872
162934.7013355102,6.7625,0.1237207505341198,1.00%,406.2885762833253,0xfeaa137f43f88b7f767f5a67978fff8ec11cc6ef,172,177104.2665266626,FXS-WETH,-14169.56519115239,0.24935668887790102,40628.857628332546
374724.7759053658,6.6958,0.11400930271842968,1.00%,923.7167685795695,0xe8629b6a488f366d27dad801d1b5b445199e2ada,109,441128.09749616357,PENDLE-WETH,-66403.32159079774,0.24650538954831414,92371.67685795692
1828059.327950256,6.4694,0.11015165477422206,1.00%,3642.1133825429374,0x7e7fb3cceca5f2ac952edf221fd2a9f62e411980,480,1864259.7730738847,MAGIC-WETH,-36200.44512362871,0.19923387205527524,364211.3382542937
154341.27608405257,6.7257,0.10404149891778847,0.30%,299.8211087990657,0x4c4dd10ee3d70758d6bcc924e21b59400460dcd7,301,156280.59932726418,RDNT-WETH,-1939.3232432116056,0.6475284650702386,99940.36959968849
119587.3785397386,6.8153,0.09168042867837345,1.00%,216.22567566230964,0x3c711d3b25ae5c37ee38afc10b589c3bc6419edf,154,126193.31175225912,VSTA-WETH,-6605.933212520526,0.18080977967959916,21622.56756623096
149695.41998727375,6.5417,0.0859164436534654,1.00%,232.25136441982963,0xb7c9609cc9083e135d9315c355db4334c07e7c2c,93,150764.51740820584,SYN-WETH,-1069.0974209320848,0.1551492787418442,23225.13644198297
166167.5003294879,6.8271,0.08234017594221044,0.05%,313.1134684363728,0x09ba302a3f5ad2bf8853266e271b005a5b3716fe,197,203205.30768409034,rETH-WETH,-37037.80735460244,3.7686487166926197,626226.936872745
