ID;Created At Timestamp;Created At Timestamp (Unix);Created At Block Number;Token 0 Symbol;Token 1 Symbol;Token 0;Token 1;Fee Tier;Liquidity;Sqrt Price;Fee Growth Global 0X128;Fee Growth Global 1X128;Token0 Price;Token1 Price;Tick;Observation Index;Volume Token0;Volume Token1;Volume USD;Untracked Volume USD;Fees USD;TX Count;Collected Fees Token0;Collected Fees Token1;Collected Fees USD;Total Value Locked Token0;Total Value Locked Token1;Total Value Locked ETH;Total Value Locked USD;Total Value Locked USD Untracked;Liquidity Provider Count
0x0615df4ff007cf5eaa6f779a8c92d59069bfcbaa;12/13/2022, 4:37:47 PM;1670978267;16179401;APE;USDC;0x4d224452801aced8b2f0aebe155379bb5d594381;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0.001;0;147,157,471,002,197,540,000,000;31,522,162,968,823,060,000,000,000,000,000,000,000,000;99,806,976,732,388,640,000,000,000,000;0.289864170409315933;3.449891;-263,940;0;17015.160082066687985102;67575.802315;67575.802315;67112.109809793591186496;33.7879011575;117;0.0;0.0;0.0;4.803311800718936641;14.865309;0.026482369313054057;31.293064616420828856;0.0;0
0x0c9b62b7092b33cc5b5c21b428e704d4776c793f;1/27/2022, 8:15:42 PM;1643343342;14091984;WETH;LOOKS;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0xf4d2888d29d722226fafa5d9b24f9164c092421e;0;0;0;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;4;0.0;0.0;0.0;0.000000000000000002;0.0;0.000000000000000002;0.000000000000005228;0.0;0
0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec;5/5/2021, 12:08:11 PM;1620241691;12376028;SHIB;WETH;0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.003;70,780,839,930,189,750,000,000,000;5,117,062,033,984,017,000,000,000;4,027,871,119,823,965,000,000,000,000,000,000,000,000,000;25,317,714,820,239,234,000,000,000,000,000,000;239727470.872827382739461184;0.000000004171403453;-192,960;0;151927806473177.905859530319063728;897072.475243328201915513;2214030326.982332545545067414;2214172886.436482737667976597;6642090.980946997636635202;409,358;0.0;0.0;0.0;320281865815.288320931531437288;1533.947893977919768859;2866.545430512513213242;5395398.539640760367007215;0.0;0
0x3b685307c8611afb2a9e83ebc8743dc20480716e;6/8/2021, 11:47:01 PM;1623221221;12598836;FTM;WETH;0x4e15361fd6b4bb609fa63c81a2be19d873717870;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.01;30,325,885,695,071,445,000,000;919,667,653,958,587,700,000,000,000;9,854,390,717,774,604,000,000,000,000,000,000,000,000;2,788,025,811,219,036,000,000,000,000,000,000,000;7421.596580827645667812;0.00013474189672116;-89,126;0;946163792.69351187398908398;424048.448406729820131511;1345242983.557346767490783625;1344271369.335558368150004203;13452429.835573467674907836;67,072;0.0;0.0;0.0;9519783.455280431087621125;2136.530703893338507873;3419.244383032551255009;6435269.593961899637158662;0.0;0
0x429f1144e390a74785eeebf73f6ef565faa318b7;3/17/2022, 6:37:53 AM;1647524273;14404336;APE;USDC;0x4d224452801aced8b2f0aebe155379bb5d594381;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0.01;1,682,554,102,452;141,981,283,924,914,480,000,000;16,201,418,031,299,952,000,000,000,000,000,000,000,000,000;162,221,262,292,353,800,000,000,000,000,000;0.311384484656001542;3.211463;-264,657;0;1606875.466855244056002481;17570308.471121;17570308.471121;17596811.057566957757458333;175703.08471121;3,429;0.0;0.0;0.0;7944.806246623044269721;89515.843674;55.892726957683938787;107510.575764095055791066;0.0;0
0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011;1/10/2022, 12:13:27 PM;1641845607;13979832;WETH;LOOKS;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0xf4d2888d29d722226fafa5d9b24f9164c092421e;0.003;170,580,744,538,231,180,000,000;14,459,556,749,352,857,000,000,000,000,000;4,916,466,639,397,284,700,000,000,000,000,000,000;46,757,171,741,165,260,000,000,000,000,000,000,000,000;0.000030022662719394;33308.171541826394425577;104,140;0;2432959.109134073318516066;6221467420.084189335098615911;6100102081.145325133607952381;6098712048.527654062404514488;18300306.243435975400823857;390,423;0.0;0.0;0.0;3809.262880149305564494;34593785.824431871386642962;4847.860444143206581413;9134580.384333714740402078;0.0;0
0x52db2848b59aa96de51c758b3538c7ce656fcdb8;8/14/2022, 6:07:12 PM;1660525632;15343063;APE;WETH;0x4d224452801aced8b2f0aebe155379bb5d594381;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.001;0;1,461,446,703,485,210,200,000,000,000,000,000,000,000,000,000,000;869,308,552,847,367,200,000,000,000,000,000,000;2,834,001,848,911,214,000,000,000,000,000,000;0.0;340256786836388081269117234195560700000.0;887,271;0;33312.694544095381562628;106.021505625405300767;141546.008991818380518985;147220.366701123372179378;70.773004495909190259;58;0.0;0.0;0.0;1.650301960219924555;0.047474780600617788;0.053251401589820542;66.736897055662943072;0.0;0
0x5764a6f2212d502bc5970f9f129ffcd61e5d7563;5/5/2021, 1:02:27 PM;1620244947;12376297;SHIB;WETH;0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.01;11,457,110,248,943,457,000,000,000;5,110,494,342,738,351,000,000,000;7,112,318,017,181,996,000,000,000,000,000,000,000,000,000;34,578,899,935,787,244,000,000,000,000,000,000;240344032.638825152897653346;0.000000004160702427;-192,986;0;111469728774079.104606326299054613;500472.688521371025335893;1692790834.49500677386418006;1693886472.521098318018284511;16927908.3449500677386418;168,568;0.0;0.0;0.0;627788184576.481038846446742777;2582.352311523913985924;5194.392134954371785969;9820679.294020322627162713;0.0;0
0x6231e794773e4dc0b1ad79105d850a05d5fc0fcb;1/10/2022, 12:20:45 AM;1641802845;13976651;WETH;LOOKS;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0xf4d2888d29d722226fafa5d9b24f9164c092421e;0.01;0;1,461,446,703,485,210,200,000,000,000,000,000,000,000,000,000,000;12,104,302,210,976,280,000,000,000,000,000,000,000;5,108,675,055,237,280,000,000,000,000,000,000,000,000;0.0;340256786836388081269117234195560700000.0;887,271;0;178569.00882645264305519;189248419.75839187505499379;560107947.844848711618023487;559851271.610705037849040097;5601079.478448487116180234;48,684;0.0;0.0;0.0;909.83623908791096716;952784.781982447839609209;939.043312251296079993;1772517.177300015867995714;0.0;0
0x64652315d86f5dfae30885fbd29d1da05b63add7;5/5/2021, 12:29:44 PM;1620242984;12376130;FTM;WETH;0x4e15361fd6b4bb609fa63c81a2be19d873717870;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.003;44,136,228,070,192,790,000;924,817,708,923,662,600,000,000,000;33,583,828,317,423,457,000,000,000,000,000,000,000,000;613,380,969,867,392,100,000,000,000,000,000,000;7339.169077355514165721;0.000136255206748871;-89,015;0;50164437.314710163239188982;11094.766008947657051614;26763106.729534972081832457;22600307.657818399085332917;80289.320188604916245497;11,785;0.0;0.0;0.0;211001.497305834667410157;16.53284839757032812;44.728942721620877008;83448.40276504813137372;0.0;0
